南星直播-日韩频道,#genre#
NHK G,http://redlabmcdn.s.llnwi.net/nv02/ryowa2hd/playlist.m3u8
NHK World Japan,http://nhkwlive-xjp.akamaized.net/hls/live/2003458/nhkwlive-xjp-en/index_1M.m3u8
NHK 華語,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index.m3u8
Ski TV,https://d2xeo83q8fcni6.cloudfront.net/v1/master/9d062541f2ff39b5c0f48b743c6411d25f62fc25/SkiTV-SynapseTV/193.m3u8
Sofy TV,https://sofy-ger-samsung.amagi.tv/playlist.m3u8
Star 1,http://redlabmcdn.s.llnwi.net/nv02/bs09hd/index.m3u8
Star 2,http://redlabmcdn.s.llnwi.net/nv02/bs10hd/index.m3u8
TBS,http://58.234.158.60:1935/catvlive/myStream/playlist.m3u8
Tokyo MX 1 (360p),https://movie.mcas.jp/mcas/smil:mx1_prod.smil/master.m3u8
Tokyo MX 1,http://redlabmcdn.s.llnwi.net/nv02/ryowa8hd/playlist.m3u8
Tokyo MX 2 (360p),https://movie.mcas.jp/mcas/smil:mx2_prod.smil/master.m3u8
Tokyo MX 2,https://movie.mcas.jp/mcas/mx2_2/chunklist.m3u8
TV Tokyo,http://redlabmcdn.s.llnwi.net/nv02/ryowa6hd/playlist.m3u8
WeatherNews,https://movie.mcas.jp/mcas/smil:wn1.smil/chunklist_b1800000.m3u8
DUBAI RACING[640*360],http://dmisvthvll.cdn.mangomolo.com/events/smil:events.smil/playlist.m3u8?checkedby:iptvcat.com
DUBAI SPORTS[320*180],http://dmitnthvll.cdn.mangomolo.com/dubaisports/smil:dubaisports/chunklist.m3u8?checkedby:iptvcat.com
泰国·公共三台[1280*720],http://thaipbs-live.cdn.byteark.com/live/playlist_720p/index.m3u8
韩国 Ⅰ BBS佛教广播[1920*1080],http://bbstv.clouducs.com:1935/bbstv-live/livestream/chunklist_w1403706733.m3u8
韩国·EBS_E频道[640*360],http://ebsonairios.ebs.co.kr/plus3tablet500k/tablet500k/plus3tablet500k.index.m3u8
韩国·EBS加一频道[640*360],http://ebsonairios.ebs.co.kr/plus1tablet500k/tablet500k/plus1tablet500k.index.m3u8
韩国·EBS加二频道[640*360],http://ebsonairios.ebs.co.kr/plus2tablet500k/tablet500k/plus2tablet500k.index.m3u8
韩国·EBS第一频道[640*360],http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/groundwavetablet500k.m3u8
韩国·EBS第二频道[640*360],http://ebsonairios.ebs.co.kr/ebs2tablet500k/tablet500k/ebs2tablet500k.index.m3u8
韩国·MBC综合频道[1280*720],http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8
韩国·SBS CJB[960*540],http://1.222.207.80:1935/live/cjbtv/chunklist_w1357270949.m3u8
韩国EBS少儿频道[640*360],http://ebsonairios.ebs.co.kr/ebsutablet500k/tablet500k/playlist.m3u8
韩国EBS第一频道[640*360],http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/playlist.m3u8
韩国lEBS 儿童频道[640*360],http://ebsonairios.ebs.co.kr/ebsutablet500k/_definst_/tablet500k/chunklist_w1965791004.m3u8
BBS 불교방송[1920*1080],http://bbstv.clouducs.com:1935/bbstv-live/livestream/chunklist_w1216149699.m3u8
Luxury World[1920*1080],http://nano.teleservice.su:8080/hls/luxury.m3u8
韩国 Ⅰ 阿里郎WORLD[1920*1080],http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch/master.m3u8
韩国ARS,https://media1.cpbc.co.kr:8888/vod/_definst_/mp4:ads/spot_khs.mp4/chunklist.m3u8
韩国-Arirang,http://amdlive-ch01.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
韩国Arirang (Opt-1),http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
韩国·国防电视,http://mediaworks.dema.mil.kr:1935/live_edge/cudo.sdp/playlist.m3u8
韩国-BBS,http://bbstv.clouducs.com:1935/bbstv-live/livestream/playlist.m3u8
韩国-EBS1,http://ebsonairios.ebs.co.kr/groundwavefamilypc/familypc1m/playlist.m3u8
韩国-EBS2,http://ebsonairios.ebs.co.kr/ebs2familypc/familypc1m/playlist.m3u8
韩国-EBSe,http://ebsonairios.ebs.co.kr/plus3familypc/familypc1m/playlist.m3u8
韩国-KBC,http://119.200.131.11:1935/KBCTV/tv/playlist.m3u8
韩国新聞,http://183.110.27.87/mtnlive/definst/720/chunklist.m3u8
韩国職業廣播,http://live.worktv.or.kr:1935/live/wowtvlive1.sdp/playlist.m3u8
韩国-MTN,http://183.110.27.87/mtnlive/_definst_/720/chunklist.m3u8
韩国-NBS Korea Agricultural Broadcasting,https://media.joycorp.co.kr:4443/live/live_720p/playlist.m3u8
韩国-TJB (SBS 大田),http://1.245.74.5:1935/live/tv/.m3u8
韩国EBS第一频道,http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/playlist.m3u8
韩国EBS第二频道,http://ebsonairios.ebs.co.kr/ebs2tablet500k/tablet500k/ebs2tablet500k.index.m3u8
韩国 Ⅰ KCTV,http://119.77.96.184:1935/chn21/chn21/chunklist_w252131137.m3u8
DUBAI ONE,http://dminnvll.cdn.mangomolo.com/dubaione/smil:dubaione.stream.smil/chunklist.m3u8?checkedby:iptvcat.com
ANTV,http://antvlive.ab5c6921.cdnviet.com/antv/playlist.m3u8
ABN HD,https://vod2.abn.co.kr/IPHONE/abn.m3u8
Arirang 阿里郎,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/.m3u8
Arirang 阿里郎3,http://amdlive.ctnd.com.edgesuite.net/arirang_3ch/smil:arirang_3ch.smil/.m3u8
BBS 佛教廣播,http://bbstv.clouducs.com:1935/bbstv-live/livestream/chunklist.m3u8
CJ OnStyle,https://live-ch1.cjonstyle.net/cjmalllive/stream2/playlist.m3u8
CJ OnStyle+,https://live-ch2.cjonstyle.net/cjosplus/live2/playlist.m3u8
CJONSTYLE,http://mytv.dothome.co.kr/ch/catv/91.php
CJONSTYLE+,http://mytv.dothome.co.kr/ch/catv/92.php
GS Shop,https://gstv-gsshop.gsshop.com/gsshop_hd/gsshop_hd.stream/playlist.m3u8
Gugak TV 國樂放送,http://mgugaklive.nowcdn.co.kr/gugakvideo/gugakvideo.stream/playlist.m3u8
KBS LiveCam DokDo,http://kbs-dokdo.gscdn.com/dokdo_300/dokdo_300.stream/playlist.m3u8
KBS WORLD,https://kbsworld-ott.akamaized.net/hls/live/2002341/kbsworld/01.m3u8
Kix (印尼字幕),http://210.210.155.37/dr9445/h/h07/index.m3u8
Korea TV,https://hlive.ktv.go.kr/live/klive_h.stream/playlist.m3u8
KShopping,https://fhs8036.bd-61.ktcdn.co.kr/klive/smil:klive.smil/playlist.m3u8
南星直播-亚洲频道,#genre#
泰国·公共三台,http://thaipbs-live.cdn.byteark.com/live/playlist_720p/index.m3u8
泰国·CTB,http://vip.login.in.th:1935/CTB/CTB/playlist.m3u8
泰国 ASTV News 1,http://news1.live14.com/stream/news1_hi.m3u8
泰国PBS,http://thaipbs-live.cdn.byteark.com/live-en/playlist_720p/index.m3u8
泰国lNBT 曼谷频道,http://live.prd.go.th:1935/live/ch1_L.sdp/chunklist.m3u8
泰国-White Channel[1920*1080],http://symc-cdn.violin.co.th:1935/tndedge/whitechannel/chunklist.m3u8
新马 Ⅰ 亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_3.m3u8
蒙古·MNB综合台,http://103.14.38.107:1935/live/mnb.stream/playlist.m3u8
蒙古-HHGZ,http://spacetv.in/stream/WUQP6BVK17/56.m3u8
越南坚江频道,http://tv.kgtv.vn/live/kgtv/kgtv.m3u8
越南 Gia Lai TV,http://113.161.25.3:8134/hls/gialaitv/gialaitv.m3u8
越南ktv,http://210.245.20.94/hls/ktv1.m3u8
越南-VBSTV,http://uni6rtmp.tulix.tv:1935/vbstv/vbsabr.smil/playlist.m3u8
越南和平HBTV,http://hoabinhtvlive.746b3ddb.cdnviet.com/hoabinhtv/playlist.m3u8
越南ANTVHD,http://antvlive.ab5c6921.cdnviet.com/antv/playlist.m3u8
越南-CTV,http://tv.ctvcamau.vn/live/tv/tv.m3u8
俄罗斯 Ⅰ OR 音乐频道,http://rtmp.one.by:2200/
俄罗斯GITV,http://hls-igi.cdnvideo.ru/igi/igi_hq/playlist.m3u8
俄罗斯中文,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
俄罗斯Tivikom Ulan-Udje,http://tvcom.stream.intelema.ru/tvcom/studio/index.m3u8
俄罗斯Astrakhan 24 (Opt-2),http://streaming.astrakhan.ru/astrakhan24/index.m3u8
俄罗斯First Music (Opt-3),http://rtmp.one.by:1200
俄罗斯RBC (Opt-1),http://92.50.128.180/utv/1358/index.m3u8
俄罗斯Shanson TV (Opt-1),http://hls.shansontv.cdnvideo.ru/shansontv/smil:shansontv.smil/playlist.m3u8
俄罗斯Shanson TV (Opt-2),http://chanson-video.hostingradio.ru:8080/hls/chansonabr/live.m3u8
俄罗斯Tjumenskoe Vremja,http://streams.sibinformburo.cdnvideo.ru/sibinformburo/sibinformburo.sdp/playlist.m3u8
俄罗斯TRO Soyuz,http://live2.mediacdn.ru/sr1/tro/playlist.m3u8
俄罗斯Ugra TV,http://live.ugratv.cdnvideo.ru/ugratv/smil:ugrastream1.smil/playlist.m3u8
伊拉克 Al Sharqiya,http://ns8.indexforce.com:1935/home/mystream/playlist.m3u8
新加坡-CNA,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
新加坡,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
新加坡CNA,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
蒙古国lMNB,http://103.14.38.107:1935/live/mnb.stream/master.m3u8
印尼-TVRISports,http://wpc.d1627.nucdn.net/80D1627/o-tvri/Content/HLS/Live/Channel(TVRI4)/Stream(03)/index.m3u8
印尼-TVRIKanal3,http://wpc.d1627.nucdn.net/80D1627/o-tvri/Content/HLS/Live/Channel(TVRI3)/Stream(03)/index.m3u8
印尼-METROTV,http://edge.metrotvnews.com:1935/live-edge/smil:metro.smil/playlist.m3u8
伊拉克-SharqiyaNews,http://ns8.indexforce.com:1935/alsharqiyalive/mystream/playlist.m3u8
半岛新闻,https://live-hls-web-aje.getaj.net/AJE/02.m3u8
伊朗PBC Tapesh TV,http://iptv.tapesh.tv/tapesh/playlist.m3u8
乌克兰1台,http://cdn1.live-tv.od.ua:8081/1tvkr/1tvkr-abr/1tvkr/1tvkr/playlist.m3u8
半島新聞台,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
半島電視台,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
[澳大利亚]OutdoorChannel(1080p)[640*360][640*360],https://outdoorchannel-samsungau.amagi.tv/playlist.m3u8
[阿联酋]NoorDubai(576p)[266*160][266*160],https://dmiffthvll.cdn.mangomolo.com/noordubaitv/smil:noordubaitv.smil/playlist.m3u8
[阿联酋]SharjahTV(1080p),https://svs.itworkscdn.net/smc1live/smc1.smil/playlist.m3u8
[阿联酋]Asharq,https://bcsecurelivehls-i.akamaihd.net/hls/live/1021447/6203311941001/master.m3u8
[阿联酋]Yas(1080p)[320*180][320*180],https://admdn1.cdn.mangomolo.com/yastv/smil:yastv.stream.smil/playlist.m3u8
[AE;IR]TowheedTV,http://51.210.199.1/hls/stream.m3u8
[阿富汗]PamirTV,http://live.stream.cdn.pamirtv.com/ptv/d0dbe915091d400bd8ee7f27f0791303.sdp/index.m3u8
[亚美尼亚]Amga[Not24/7],https://streamer1.connectto.com/AMGA_WEB_1202/playlist.m3u8
[印度尼西亚]TVRIAceh[720*540][720*540],http://118.97.50.107/Content/HLS/Live/Channel(TVRIACEH)/index.m3u8
[印度尼西亚]TVRIBengkulu[720*540][720*540],http://118.97.50.107/Content/HLS/Live/Channel(TVRIBENGKULU)/index.m3u8
[印度尼西亚]TVRIDKIJakarta[720*540][720*540],http://118.97.50.107/Content/HLS/Live/Channel(TVRIDKI)/Stream(03)/index.m3u8
[印度尼西亚]TVRIGorontalo[720*540][720*540],http://118.97.50.107/Content/HLS/Live/Channel(TVRIGORONTALO)/index.m3u8
[印度尼西亚]TVRIJambi[720*540][720*540],http://118.97.50.107/Content/HLS/Live/Channel(TVRIJAMBI)/index.m3u8
[印度尼西亚]TVRIJawaBarat[240*180][240*180],http://118.97.50.107/Content/HLS/Live/Channel(TVRIJABARBANDUNG)/index.m3u8
[印度尼西亚]TVRIKalimantanBarat[720*540][720*540],http://118.97.50.107/Content/HLS/Live/Channel(TVRIKALBAR)/index.m3u8
[印度尼西亚]TVRIKalimantanSelatan[720*540][720*540],http://118.97.50.107/Content/HLS/Live/Channel(TVRIKALSELBANJARMSN)/index.m3u8
[印度尼西亚]TVRIKalimantanTimur[720*540][720*540],http://118.97.50.107/Content/HLS/Live/Channel(TVRIKALTIMSAMARINDA)/index.m3u8
[印度尼西亚]TVRIKanal3[720*540][720*540],http://118.97.50.107/Content/HLS/Live/Channel(TVRI3)/index.m3u8
[印度尼西亚]TVRIMaluku[240*180][240*180],http://118.97.50.107/Content/HLS/Live/Channel(TVRIMALUKUAMBON)/index.m3u8
[印度尼西亚]TVRINasional,http://118.97.50.107/Content/HLS/Live/Channel(TVRINASIONAL)/index.m3u8
[印度尼西亚]TVRINusaTenggaraBarat[720*540][720*540],http://118.97.50.107/Content/HLS/Live/Channel(TVRINTBMATARAM)/index.m3u8
[印度尼西亚]TVRINusaTenggaraTimur[720*540][720*540],http://118.97.50.107/Content/HLS/Live/Channel(TVRINTTKUPANG)/index.m3u8
[印度尼西亚]TVRIPapua[720*540][720*540],http://118.97.50.107/Content/HLS/Live/Channel(TVRIPAPUA)/index.m3u8
[印度尼西亚]TVRISportHD[720*540][720*540],http://118.97.50.107/Content/HLS/Live/Channel(TVRI4)/index.m3u8
[印度尼西亚]TRANS7HD(720p),https://video.detik.com/trans7/smil:trans7.smil/playlist.m3u8
[印度尼西亚]TRANSTVHD(720p),https://video.detik.com/transtv/smil:transtv.smil/playlist.m3u8
[印度尼西亚]TVRISulawesiTenggara[720*540][720*540],http://118.97.50.107/Content/HLS/Live/Channel(TVRISULTRA)/index.m3u8
[印度尼西亚]TVRISulawesiUtara[720*540][720*540],http://118.97.50.107/Content/HLS/Live/Channel(TVRISULUTMANADO)/index.m3u8
[印度尼西亚]TVRISumateraBarat[720*540][720*540],http://118.97.50.107/Content/HLS/Live/Channel(TVRISUMBARPADANG)/index.m3u8
[印度尼西亚]TVRISumateraSelatan[720*540][720*540],http://118.97.50.107/Content/HLS/Live/Channel(TVRISUMSEL)/index.m3u8
[印度尼西亚]TVRISumateraUtara[720*540][720*540],http://118.97.50.107/Content/HLS/Live/Channel(TVRISUMUTMEDAN)/index.m3u8
[印度尼西亚]TVRIYogyakarta[853*480][853*480],http://118.97.50.107/Content/HLS/Live/Channel(TVRIYOGYAKARTA)/index.m3u8
[以色列]Hidabroot(576p),https://stream5.shidur.net/htvlive2/_definst_/smil:live2.smil/chunklist.m3u8
[印度]AmritaTV(576p),http://103.199.161.254/Content/amrita/Live/Channel(Amrita)/index.m3u8
[印度]JaihindTV(576p)[640*360][640*360],http://103.199.161.254/Content/jaihind/Live/Channel(Jaihind)/index.m3u8
[印度]JeevanTV(576p)[640*360][640*360],http://103.199.161.254/Content/jeevan/Live/Channel(Jeevan)/index.m3u8
[印度]ManoramaNews(576p)[640*360][640*360],http://103.199.161.254/Content/manoramanews/Live/Channel(ManoramaNews)/index.m3u8
[印度]ಕಸ್ತೂರಿಕನ್ನಡKasthuri(576p)[640*360][640*360],http://103.199.161.254/Content/kasthuritv/Live/Channel(KasthuriTV)/index.m3u8
[印度]FlowersTV(576p)[640*360][640*360],http://103.199.161.254/Content/flowers/Live/Channel(Flowers)/index.m3u8
[印度]ಪಬ್ಲಿಕ್ಸಂಗೀತPublicMusic(576p),http://103.199.161.254/Content/publicmusic/Live/Channel(PublicMusic)/index.m3u8
[印度]3TamilTV(720p),https://6n3yogbnd9ok-hls-live.5centscdn.com/threetamil/d0dbe915091d400bd8ee7f27f0791303.sdp/index.m3u8
[印度]MathrubhumiNews(576p)[640*360][640*360],http://103.199.161.254/Content/mathrubhuminews/Live/Channel(Mathrubhuminews)/index.m3u8
[印度]KairaliNews(576p)[640*360][640*360],http://103.199.161.254/Content/people/Live/Channel(People)/index.m3u8
[印度]KairaliTV(576p)[640*360][640*360],http://103.199.161.254/Content/kairali/Live/Channel(Kairali)/index.m3u8
[印度]KairaliWe(576p)[640*360][640*360],http://103.199.161.254/Content/we/Live/Channel(We)/index.m3u8
[印度]Kalaignar(576p),http://103.199.161.254/Content/kalaignartv/Live/Channel(KalaignarTV)/index.m3u8
[印度]DDMalayalam(576p),http://103.199.161.254/Content/ddmalayalam/Live/Channel(DDMalayalam)/index.m3u8
[印度]DDNational(576p),http://103.199.161.254/Content/ddnational/Live/Channel(DDNational)/index.m3u8
[印度]DDSports(576p)[640*360][640*360],http://103.199.161.254/Content/ddsports/Live/Channel(DDSPORTS)/index.m3u8
[印度]DDSports,http://103.199.161.254/Content/ddsports/Live/Channel(DDSPORTS)/Stream(02)/index.m3u8
[印度]AsianetNews(576p)[640*360][640*360],http://103.199.161.254/Content/asianetnews/Live/Channel(Asianetnews)/index.m3u8
[印度]KappaTV(576p)[640*360][640*360],http://103.199.161.254/Content/kappa/Live/Channel(Kappa)/index.m3u8
[印度]MediaOne(576p)[640*360][640*360],http://103.199.161.254/Content/mediaone/Live/Channel(MediaOne)/index.m3u8
[印度]NDTVIndia(480p)[640*480][640*480],https://ndtvindiaelemarchana.akamaized.net/hls/live/2003679/ndtvindia/master.m3u8
[印度]NDTVProfit[640*480][640*480],https://ndtvprofitelemarchana.akamaized.net/hls/live/2003680-b/ndtvprofit/master.m3u8
[印度]SadaTV,http://cdn12.henico.net:8080/live/sadatv/index.m3u8
[印度]ReporterTV(576p)[640*360][640*360],http://103.199.161.254/Content/reporter/Live/Channel(Reporter)/index.m3u8
[印度]FASTWAYNEWS(720p),http://163.47.214.155:1935/fwnews/live/playlist.m3u8
[INT]ФантастикаSci-Fi[736*308][736*308],https://autopilot.catcast.tv/content/38801/index.m3u8
[伊拉克]KurdistanTV(720p),https://5a3ed7a72ed4b.streamlock.net/live/SMIL:myStream.smil/playlist.m3u8
[伊拉克]Dijlah,http://91.134.145.75:10001/Dijlah/index.m3u8
[伊朗]MohabatTV(540p)[676*540][676*540],http://204.11.235.251:1935/live_transcoder/ngrp:mohabat.stream_all/playlist.m3u8
[俄罗斯联邦]ТуранТВ[931*512][931*512],https://sc.id-tv.kz/TuranTV_36_37.m3u8
[俄罗斯联邦]НашаСибирь(1080p)[426*240][426*240],https://strm.yandex.ru/kal/sibir/sibir0.m3u8
[俄罗斯联邦]НашаСибирь/Кемерово[852*480][852*480],https://strm.yandex.ru/kal/sibir/sibir0_169_480p.json/index-v1-a1.m3u8
[俄罗斯联邦]НебесаТВ7(720p)[256*144][256*144],http://vod.tv7.fi:1935/tv7-ru/_definst_/smil:tv7-ru.smil/playlist.m3u8
[俄罗斯联邦]НебесаТВ7(RU)(720p),http://vod.tv7.fi:1935/tv7-ru/tv7-ru.stream_720p/playlist.m3u8
[俄罗斯联邦]НовороссияТВHD,http://ott.inmart.tv:8081/19/index.m3u8
[俄罗斯联邦]ОплотТВ,http://ott.inmart.tv:8081/54/index.m3u8
[俄罗斯联邦]Архыз24(1080p),https://live.mediacdn.ru/sr1/arhis24/playlist.m3u8
[俄罗斯联邦]Астрахань24[854*480][854*480],https://streaming.astrakhan.ru/astrakhan24/tracks-v2a1/index.m3u8
[俄罗斯联邦]Астрахань241,http://streaming.astrakhan.ru/astrakhan24/tracks-v1a1/index.m3u8
[俄罗斯联邦]Астрахань24HD,https://streaming.astrakhan.ru/astrakhan24/tracks-v1a1/mono.m3u8
[俄罗斯联邦]Астрахань.RuSport[426*240][426*240],http://streaming.astrakhan.ru/astrakhanrusporthd/tracks-v5a1/index.m3u8
[俄罗斯联邦]Астрахань.RuSport,https://streaming.astrakhan.ru/astrakhanrusporthd/tracks-v1a1/index.m3u8
[俄罗斯联邦]Первыйкрымский[960*540][960*540],http://mrlive.1tvcrimea.ru:8080/1tvcrimea.m3u8
[俄罗斯联邦]Астрахань.RuTV[426*240][426*240],http://streaming.astrakhan.ru/astrakhanrulivehd/tracks-v5a1/index.m3u8
[俄罗斯联邦]Астрахань.RuTV,https://streaming.astrakhan.ru/astrakhanrulivehd/tracks-v1a1/index.m3u8
[俄罗斯联邦]Афонтово(Красноярск)[1365*768][1365*768],http://xstream.afontovo.ru/afontovo_ya.m3u8
[俄罗斯联邦]ПервыйТульский,http://5.164.24.83/tula/1tv_low/index.m3u8
[俄罗斯联邦]NatGeoWILDRussia,https://sc.id-tv.kz/NatGeoWildHD_34_35.m3u8
[埃塞俄比亚]AddisTV[1280*720],https://rrsatrtmp.tulix.tv/addis1/addis1multi.smil/chunklist_w418104290_b2130000.m3u8
[格鲁吉亚共和国]MtavariArkhi[853*480],https://bozztv.com/36bay2/mtavariarxi/tracks-v1a1/mono.m3u8
[希腊]ERTWorld[720*528],http://wpso.com:1936/hls/wzra.m3u8
[印度]9XM(480p)[256*144],https://d2q8p4pe5spbak.cloudfront.net/bpk-tv/9XM/9XM.isml/index.m3u8
[印度]NDTV24X7(480p)[640*480],https://ndtv24x7elemarchana.akamaized.net/hls/live/2003678/ndtv24x7/master.m3u8
[印度]Velicham(360p)[Not24/7][640*360],https://rtmp.smartstream.video/velichamtv/velichamtv/playlist.m3u8
[伊拉克]RudawTV(1080p),https://svs.itworkscdn.net/rudawlive/rudawlive.smil/playlist.m3u8
[伊朗]iFILMPersian2[854*480],https://live1.presstv.ir/live/ifilm2.m3u8
[伊朗]PayamJavanTV(720p)[1280*720],https://uni01rtmp.tulix.tv/kensecure/pjtv.stream/playlist.m3u8
[伊朗]PayvandTV(720p)[1280*720],https://uni6rtmp.tulix.tv/ucur1/Payvand/playlist.m3u8
[俄罗斯联邦]Евразия(Орск),https://infochh.trkeurasia.ru/hlsinfoch/infochhd.m3u8
[俄罗斯联邦]Cinema[785*432][785*432],https://sc.id-tv.kz/Cinema_34_35.m3u8
[俄罗斯联邦]ЖарПтица(1080p),http://streamer.rtcommufa.ru:1935/ptica/ptica1/playlist.m3u8
[俄罗斯联邦]A2(576p)[785*432][785*432],https://sc.id-tv.kz/A2.m3u8
[俄罗斯联邦]UniverTV(720p),http://cdn.universmotri.ru/live/hq.sdp/chunklist_w1792531.m3u8
[俄罗斯联邦]UniverTV(576p),http://cdn.universmotri.ru/live/mq.sdp/playlist.m3u8
[俄罗斯联邦]С1(Сургут)[Not24/7],https://sitv.ru/hls/stv.m3u8
[俄罗斯联邦]Север(Нарьян-Мар)(1080p),https://live.mediacdn.ru/sr1/sever/playlist.m3u8
[俄罗斯联邦]Кинопремьера,https://sc.id-tv.kz/Kinopremiera_hd_34_35.m3u8
[俄罗斯联邦]КонныйМир,http://cdn-01.bonus-tv.ru:80/konnyimir/playlist.m3u8
[俄罗斯联邦]СТВКазахстан[589*432][589*432],https://sc.id-tv.kz/STV.m3u8
[俄罗斯联邦]Крым24[960*540][960*540],http://mr2live.1tvcrimea.ru:8080/24tvcrimea.m3u8
[俄罗斯联邦]СТСInternational[785*432][785*432],https://sc.id-tv.kz/STS.m3u8
